jugador,jugador_id,equipo,goles,asistencias,penales
Lionel Messi,3218,Argentina,5,,
Kylian Mbappé,3374,France,4,,
Erling Haaland,38101,Norway,4,,
Deniz Undav,6928,Germany,3,2.0,
Jonathan David,8924,Canada,3,,
Cyle Larin,15958,Canada,2,,
Folarin Balogun,131040,United States,2,,
Ismael Saibari,130173,Morocco,2,,
Vinicius Junior,1556,Brazil,2,2.0,
Kai Havertz,171,Germany,2,,1.0
Crysencio Summerville,102193,Netherlands,2,1.0,
Daichi Kamada,6716,Japan,2,,
Yasin Ayari,145613,Sweden,2,,
Maximiliano Araújo,28770,Uruguay,2,1.0,
Elijah Just,118981,New Zealand,2,,
Harry Kane,8004,England,2,,1.0
Johan Manzambi,212309,Switzerland,2,,
Matheus Cunha,30842,Brazil,2,,
Brian Brobbey,97535,Netherlands,2,,
Cody Gakpo,7459,Netherlands,2,1.0,
Ayase Ueda,119460,Japan,2,1.0,
Mikel Oyarzabal,180137,Spain,2,1.0,
Ismaïla Sarr,3638,Senegal,2,,
Julián Quiñones,39237,Mexico,1,,
Raúl Jiménez,3305,Mexico,1,,
Ladislav Krejčí,1878,Czechia,1,,
In-beom Hwang,170561,South Korea,1,1.0,
Hyun-Gyu Oh,191295,South Korea,1,,
Jovo Lukić,17767,Bosnia-Herzegovina,1,,
Mauricio,119594,Paraguay,1,,
Gio Reyna,136733,United States,1,,
Breel Embolo,3483,Switzerland,1,1.0,1.0
Boualem Khoukhi,115828,Qatar,1,,
John McGinn,34646,Scotland,1,,
Nestor Irankunda,176991,Australia,1,,
Connor Metcalfe,4635,Australia,1,,
Felix Kalu Nmecha,101074,Germany,1,1.0,
Livano Comenencia,166156,Curaçao,1,,
Nico Schlotterbeck,75539,Germany,1,,
Jamal Musiala,144393,Germany,1,,
Nathaniel Brown,184533,Germany,1,1.0,
Virgil van Dijk,7869,Netherlands,1,,
Keito Nakamura,48595,Japan,1,1.0,
Amad Diallo,133584,Ivory Coast,1,,
Alexander Isak,6486,Sweden,1,3.0,
Omar Rekik,144669,Tunisia,1,,
Viktor Gyökeres,8279,Sweden,1,1.0,
Mattias Svanberg,15354,Sweden,1,,
Emam Ashour,191972,Egypt,1,,
Abdulelah Al Amri,103094,Saudi Arabia,1,,
